model,method,lesion_type,predicted_grade,iou_mean,iou_std,iou_count,dice_mean,dice_std,dice_count,underpowered
efficientnetb4,lime,SE,4,0.0043193124838503,0.002883456406436722,2,0.0085932649778016,0.0057174391018328065,2,True
efficientnetb4,shap,EX,1,0.001070939465328,,1,0.0021395875618965,,1,True
efficientnetb4,shap,EX,2,0.01926627585059791,0.023162687054434295,9,0.036922924412752675,0.04363356610735809,9,False
efficientnetb4,shap,EX,3,0.016639174238724033,0.023915091621057847,12,0.03178767570436235,0.04388019337716986,12,False
efficientnetb4,shap,EX,4,0.008913650401531279,0.008007244205949001,5,0.01757066241259352,0.015614146150527232,5,False
efficientnetb4,shap,HE,1,0.0009598212153915,,1,0.0019178016840397,,1,True
efficientnetb4,shap,HE,2,0.0025667771658595888,0.0027029540951286927,9,0.005107562399501622,0.005361630157629808,9,False
efficientnetb4,shap,HE,3,0.009854758106589675,0.00846543195955361,12,0.019391101650688015,0.01640812365126879,12,False
efficientnetb4,shap,HE,4,0.016137544719939383,0.0073144934891888735,5,0.031681372365953545,0.014091606557482482,5,False
efficientnetb4,shap,MA,1,1.216661941962792e-06,,1,2.433320923396624e-06,,1,True
efficientnetb4,shap,MA,2,0.0007805112237773777,0.0007003016435001811,9,0.001558935606801678,0.0013977309964347236,9,False
efficientnetb4,shap,MA,3,0.0019068925047644582,0.001321763250496369,12,0.003803345611389375,0.0026302291830775752,12,False
efficientnetb4,shap,MA,4,0.00205304885133926,0.0011843519805253982,5,0.00409545540580228,0.002357963417209241,5,False
efficientnetb4,shap,SE,2,0.0034862040431724397,0.005704243913102484,5,0.0068970006731308,0.011255485050149287,5,False
efficientnetb4,shap,SE,3,0.002347355119306157,0.0020676794410575804,7,0.004676437036443328,0.004116662438040538,7,False
efficientnetb4,shap,SE,4,0.0012949860737193,0.00044597201070315434,2,0.0025864243869462003,0.0008896384790809126,2,True
resnet50,gradcam,EX,2,0.02568266553015012,0.043215699400144636,14,0.04710906192863313,0.07597525708421292,14,False
resnet50,gradcam,EX,3,0.01611417263151188,0.028689649025581087,10,0.030357892104334733,0.053498884186165406,10,False
resnet50,gradcam,EX,4,0.005682418982603466,0.005532696924722692,3,0.0112604768443329,0.010946173221091314,3,True
resnet50,gradcam,HE,2,0.008766126443791693,0.017687793900290523,14,0.01684069609684753,0.033120619541679136,14,False
resnet50,gradcam,HE,3,0.021189093452519327,0.04608800312404907,10,0.0382253449331846,0.08063028509612197,10,False
resnet50,gradcam,HE,4,0.06981237126361006,0.025607661568103145,3,0.12980827342388865,0.04418120708840982,3,True
resnet50,gradcam,MA,2,0.0011833283847695153,0.0009196201780031692,14,0.002362295000779357,0.0018343343258661255,14,False
resnet50,gradcam,MA,3,0.0023215001227654,0.0018581115806399627,10,0.00462607772983048,0.003697351390337618,10,False
resnet50,gradcam,MA,4,0.0012658268795492,0.0012170890032526976,3,0.0025264852745521334,0.002428407492646803,3,True
resnet50,gradcam,SE,2,0.0084795317903307,0.010511400296928096,7,0.01663331064223997,0.02050135322477908,7,False
resnet50,gradcam,SE,3,0.03395893692379972,0.07203272349058275,5,0.058791603805271084,0.12372694109188596,5,False
resnet50,gradcam,SE,4,0.0092679523250504,0.013106863873513534,2,0.01819857755183265,0.02573667518970029,2,True
resnet50,lime,EX,2,0.018514272114994807,0.028900383513606468,14,0.0349726444451186,0.0525007659800056,14,False
resnet50,lime,EX,3,0.014633919036206481,0.020664362796855715,10,0.02813827048867549,0.03860131531394599,10,False
resnet50,lime,EX,4,0.003338093402710133,0.004377276795902788,3,0.006628734291085167,0.00867841121325789,3,True
resnet50,lime,HE,2,0.001731010372285043,0.001763310339697772,14,0.0034503060130371644,0.0035070052061495108,14,False
resnet50,lime,HE,3,0.021708238782720213,0.04462415003942829,10,0.03943492801232239,0.07784741293975948,10,False
resnet50,lime,HE,4,0.04183812356563366,0.0288088274786387,3,0.0793225995056616,0.053887829497244064,3,True
resnet50,lime,MA,2,0.0008584017072898844,0.0006996299098887011,14,0.0017144245493015357,0.001396431347149653,14,False
resnet50,lime,MA,3,0.00275343650187021,0.0017426470416031135,10,0.00548633525888692,0.003463105322680898,10,False
